Date,Casual,Member,Total_rides,WMO code,temp(°C),atemp(°C),windspeed,season,Season,mnth,holiday,weekday,workingday,Weekday,weathersit,humidity(%),year
2021-01-01,371,590,961,63.0,2.3,-0.9,10.6,1,Winter,1,True,4,False,Friday,4,,2021
2021-01-02,2874,2844,5718,61.0,7.6,4.8,19.1,1,Winter,1,False,5,False,Saturday,4,,2021
2021-01-03,495,1133,1628,63.0,3.9,0.9,13.0,1,Winter,1,False,6,False,Sunday,4,,2021
2021-01-04,907,2074,2981,3.0,4.1,1.0,13.3,1,Winter,1,False,0,True,Monday,1,,2021
2021-01-05,1057,2004,3061,51.0,4.0,1.4,9.2,1,Winter,1,False,1,True,Tuesday,4,,2021
2021-01-06,1359,1753,3112,3.0,3.4,-1.1,20.8,1,Winter,1,False,2,True,Wednesday,1,,2021
2021-01-07,1167,2143,3310,3.0,2.9,-1.3,14.4,1,Winter,1,False,3,True,Thursday,1,,2021
2021-01-08,784,2203,2987,3.0,0.7,-3.1,12.9,1,Winter,1,False,4,True,Friday,1,,2021
2021-01-09,1490,2582,4072,2.0,1.7,-3.8,19.4,1,Winter,1,False,5,False,Saturday,1,,2021
2021-01-10,1479,2522,4001,1.0,2.6,-1.8,18.7,1,Winter,1,False,6,False,Sunday,1,,2021
2021-01-11,677,2194,2871,3.0,1.5,-1.8,9.8,1,Winter,1,False,0,True,Monday,1,,2021
2021-01-12,919,2725,3644,0.0,1.3,-2.2,10.2,1,Winter,1,False,1,True,Tuesday,1,,2021
2021-01-13,1095,2788,3883,0.0,2.1,-1.3,9.7,1,Winter,1,False,2,True,Wednesday,1,,2021
2021-01-14,1095,2702,3797,2.0,3.5,0.3,9.2,1,Winter,1,False,3,True,Thursday,1,,2021
2021-01-15,924,2410,3334,53.0,4.4,1.0,18.9,1,Winter,1,False,4,True,Friday,4,,2021
2021-01-16,1850,2841,4691,53.0,4.3,0.6,16.2,1,Winter,1,False,5,False,Saturday,4,,2021
2021-01-17,1437,2308,3745,3.0,3.4,-1.0,19.6,1,Winter,1,False,6,False,Sunday,1,,2021
2021-01-18,1229,2212,3441,2.0,2.6,-1.9,20.8,1,Winter,1,True,0,False,Monday,1,,2021
2021-01-19,1185,2185,3370,3.0,2.3,-2.1,20.5,1,Winter,1,False,1,True,Tuesday,1,,2021
2021-01-20,995,1627,2622,53.0,1.4,-3.3,24.7,1,Winter,1,True,2,False,Wednesday,4,,2021
2021-01-21,1106,2423,3529,1.0,2.3,-1.7,12.3,1,Winter,1,False,3,True,Thursday,1,,2021
2021-01-22,1302,2734,4036,3.0,2.8,-1.6,20.4,1,Winter,1,False,4,True,Friday,1,,2021
2021-01-23,1145,2337,3482,3.0,-0.3,-5.9,23.6,1,Winter,1,False,5,False,Saturday,1,,2021
2021-01-24,1143,2166,3309,3.0,-0.9,-5.4,14.0,1,Winter,1,False,6,False,Sunday,1,,2021
2021-01-25,543,1847,2390,73.0,1.5,-2.1,10.0,1,Winter,1,False,0,True,Monday,4,,2021
2021-01-26,492,1505,1997,73.0,1.5,-1.4,11.9,1,Winter,1,False,1,True,Tuesday,4,,2021
2021-01-27,968,2560,3528,3.0,2.8,-1.1,17.2,1,Winter,1,False,2,True,Wednesday,1,,2021
2021-01-28,683,1984,2667,71.0,-0.1,-6.2,27.6,1,Winter,1,False,3,True,Thursday,4,,2021
2021-01-29,824,2046,2870,3.0,-1.9,-8.5,27.2,1,Winter,1,False,4,True,Friday,1,,2021
2021-01-30,1463,2535,3998,3.0,-1.4,-6.0,14.2,1,Winter,1,False,5,False,Saturday,1,,2021
2021-01-31,329,706,1035,75.0,-0.5,-4.8,17.9,1,Winter,1,False,6,False,Sunday,4,,2021
2021-02-01,227,746,973,73.0,-0.1,-4.9,18.9,1,Winter,2,False,0,True,Monday,4,,2021
2021-02-02,382,1069,1451,71.0,0.5,-5.1,23.7,1,Winter,2,False,1,True,Tuesday,4,,2021
2021-02-03,684,1792,2476,3.0,0.9,-5.0,26.3,1,Winter,2,False,2,True,Wednesday,1,,2021
2021-02-04,863,2311,3174,3.0,0.3,-4.5,20.8,1,Winter,2,False,3,True,Thursday,1,,2021
2021-02-05,1400,2849,4249,55.0,5.3,0.9,18.6,1,Winter,2,False,4,True,Friday,4,,2021
2021-02-06,2149,3263,5412,3.0,3.0,-1.3,22.3,1,Winter,2,False,5,False,Saturday,1,,2021
2021-02-07,757,1532,2289,75.0,2.1,-1.6,17.4,1,Winter,2,False,6,False,Sunday,4,,2021
2021-02-08,844,2048,2892,1.0,-3.9,-8.5,11.4,1,Winter,2,False,0,True,Monday,1,,2021
2021-02-09,920,2642,3562,3.0,2.8,-0.6,11.4,1,Winter,2,False,1,True,Tuesday,1,,2021
2021-02-10,569,1793,2362,75.0,1.6,-1.9,10.8,1,Winter,2,False,2,True,Wednesday,4,,2021
2021-02-11,566,1675,2241,75.0,0.7,-2.8,12.0,1,Winter,2,False,3,True,Thursday,4,,2021
2021-02-12,828,2201,3029,71.0,-1.8,-5.9,11.0,1,Winter,2,False,4,True,Friday,4,,2021
2021-02-13,236,649,885,73.0,-1.9,-6.2,12.5,1,Winter,2,False,5,False,Saturday,4,,2021
2021-02-14,829,1535,2364,3.0,0.0,-3.5,8.7,1,Winter,2,False,6,False,Sunday,1,,2021
2021-02-15,777,1943,2720,53.0,1.4,-1.9,13.7,1,Winter,2,True,0,False,Monday,4,,2021
2021-02-16,722,2127,2849,63.0,3.7,-0.0,23.5,1,Winter,2,False,1,True,Tuesday,4,,2021
2021-02-17,557,1392,1949,1.0,-1.9,-6.8,20.5,1,Winter,2,False,2,True,Wednesday,1,,2021
2021-02-18,217,527,744,75.0,-1.7,-5.9,15.1,1,Winter,2,False,3,True,Thursday,4,,2021
2021-02-19,524,1521,2045,73.0,0.0,-4.0,15.5,1,Winter,2,False,4,True,Friday,4,,2021
2021-02-20,796,1849,2645,3.0,-2.5,-8.3,23.4,1,Winter,2,False,5,False,Saturday,1,,2021
2021-02-21,919,2053,2972,2.0,-2.8,-7.1,15.9,1,Winter,2,False,6,False,Sunday,1,,2021
2021-02-22,334,1214,1548,73.0,0.7,-3.5,16.2,1,Winter,2,False,0,True,Monday,4,,2021
2021-02-23,957,2363,3320,51.0,4.2,-0.1,25.8,1,Winter,2,False,1,True,Tuesday,4,,2021
2021-02-24,1733,3449,5182,1.0,8.1,4.2,20.4,1,Winter,2,False,2,True,Wednesday,1,,2021
2021-02-25,1290,2891,4181,1.0,7.5,3.5,21.4,1,Winter,2,False,3,True,Thursday,1,,2021
2021-02-26,1230,2543,3773,71.0,4.7,0.9,12.8,1,Winter,2,False,4,True,Friday,4,,2021
2021-02-27,2130,2949,5079,73.0,6.6,4.3,12.5,1,Winter,2,False,5,False,Saturday,4,,2021
2021-02-28,371,768,1139,63.0,6.7,4.6,15.5,1,Winter,2,False,6,False,Sunday,4,,2021
2021-03-01,753,1750,2503,63.0,8.4,5.2,27.8,1,Winter,3,False,0,True,Monday,4,,2021
2021-03-02,1014,2459,3473,0.0,2.3,-2.7,20.6,1,Winter,3,False,1,True,Tuesday,1,,2021
2021-03-03,1615,3256,4871,0.0,5.2,1.3,12.6,1,Winter,3,False,2,True,Wednesday,1,,2021
2021-03-04,1107,2709,3816,3.0,6.1,1.2,24.2,1,Winter,3,False,3,True,Thursday,1,,2021
2021-03-05,1048,2586,3634,2.0,1.6,-4.3,27.8,1,Winter,3,False,4,True,Friday,1,,2021
2021-03-06,2323,2869,5192,3.0,2.1,-3.0,21.2,1,Winter,3,False,5,False,Saturday,1,,2021
2021-03-07,1835,2456,4291,0.0,1.5,-2.6,13.8,1,Winter,3,False,6,False,Sunday,1,,2021
2021-03-08,1183,2580,3763,1.0,3.2,-0.6,10.7,1,Winter,3,False,0,True,Monday,1,,2021
2021-03-09,2067,3397,5464,1.0,9.8,6.7,14.0,1,Winter,3,False,1,True,Tuesday,1,,2021
2021-03-10,2389,3875,6264,1.0,10.9,8.5,13.0,1,Winter,3,False,2,True,Wednesday,1,,2021
2021-03-11,2913,4166,7079,2.0,15.4,12.7,17.4,1,Winter,3,False,3,True,Thursday,1,,2021
2021-03-12,2712,3703,6415,3.0,15.9,13.6,15.5,1,Winter,3,False,4,True,Friday,1,,2021
2021-03-13,4497,3758,8255,1.0,9.5,5.2,20.8,1,Winter,3,False,5,False,Saturday,1,,2021
2021-03-14,3640,3292,6932,1.0,9.0,3.8,30.0,1,Winter,3,False,6,False,Sunday,1,,2021
2021-03-15,1249,2394,3643,3.0,4.1,-0.6,21.1,1,Winter,3,False,0,True,Monday,1,,2021
2021-03-16,1029,2430,3459,51.0,5.0,1.4,14.1,1,Winter,3,False,1,True,Tuesday,4,,2021
2021-03-17,1610,3019,4629,3.0,7.5,5.4,8.8,1,Winter,3,False,2,True,Wednesday,1,,2021
2021-03-18,558,1445,2003,63.0,8.9,7.0,18.9,1,Winter,3,False,3,True,Thursday,4,,2021
2021-03-19,1773,3018,4791,53.0,6.4,1.4,22.2,1,Winter,3,False,4,True,Friday,4,,2021
2021-03-20,4379,3875,8254,0.0,5.2,1.7,12.1,1,Winter,3,False,5,False,Saturday,1,,2021
2021-03-21,4180,3909,8089,0.0,8.0,5.0,10.0,2,Spring,3,False,6,False,Sunday,1,,2021
2021-03-22,2219,3229,5448,0.0,8.5,5.9,10.5,2,Spring,3,False,0,True,Monday,1,,2021
2021-03-23,2229,3606,5835,3.0,11.0,8.8,12.8,2,Spring,3,False,1,True,Tuesday,1,,2021
2021-03-24,522,1465,1987,63.0,12.7,12.2,13.1,2,Spring,3,False,2,True,Wednesday,4,,2021
2021-03-25,1894,3470,5364,51.0,15.5,15.7,11.3,2,Spring,3,False,3,True,Thursday,4,,2021
2021-03-26,3982,4585,8567,53.0,20.0,18.2,28.2,2,Spring,3,False,4,True,Friday,4,,2021
2021-03-27,8232,5106,13338,2.0,15.0,13.3,14.1,2,Spring,3,False,5,False,Saturday,1,,2021
2021-03-28,2028,2071,4099,63.0,15.5,13.9,28.5,2,Spring,3,False,6,False,Sunday,4,,2021
2021-03-29,2994,3785,6779,2.0,9.8,5.5,30.6,2,Spring,3,False,0,True,Monday,1,,2021
2021-03-30,4805,4746,9551,1.0,11.4,8.5,18.3,2,Spring,3,False,1,True,Tuesday,1,,2021
2021-03-31,1138,2239,3377,63.0,14.8,14.4,17.9,2,Spring,3,False,2,True,Wednesday,4,,2021
2021-04-01,1824,2670,4494,53.0,7.2,2.5,26.4,2,Spring,4,False,3,True,Thursday,4,,2021
2021-04-02,2539,2904,5443,3.0,3.4,-2.5,24.3,2,Spring,4,False,4,True,Friday,1,,2021
2021-04-03,7206,3743,10949,0.0,5.2,1.3,12.8,2,Spring,4,False,5,False,Saturday,1,,2021
2021-04-04,7441,4050,11491,2.0,11.4,8.2,19.3,2,Spring,4,False,6,False,Sunday,1,,2021
2021-04-05,3835,3833,7668,3.0,13.2,10.8,13.7,2,Spring,4,False,0,True,Monday,1,,2021
2021-04-06,3530,4407,7937,51.0,15.2,13.8,12.2,2,Spring,4,False,1,True,Tuesday,4,,2021
2021-04-07,3461,4436,7897,2.0,17.0,16.5,12.0,2,Spring,4,False,2,True,Wednesday,1,,2021
2021-04-08,3358,4433,7791,51.0,15.0,12.7,17.8,2,Spring,4,False,3,True,Thursday,4,,2021
2021-04-09,2323,3508,5831,61.0,13.5,12.3,15.6,2,Spring,4,False,4,True,Friday,4,,2021
2021-04-10,6719,4710,11429,3.0,15.6,15.5,12.0,2,Spring,4,False,5,False,Saturday,1,,2021
2021-04-11,5368,4288,9656,61.0,18.9,18.6,17.6,2,Spring,4,False,6,False,Sunday,4,,2021
2021-04-12,1794,3286,5080,51.0,14.8,13.8,14.4,2,Spring,4,False,0,True,Monday,4,,2021
2021-04-13,2300,4126,6426,51.0,13.2,12.0,10.1,2,Spring,4,False,1,True,Tuesday,4,,2021
2021-04-14,932,2183,3115,55.0,13.2,12.7,11.2,2,Spring,4,False,2,True,Wednesday,4,,2021
2021-04-15,2683,4328,7011,53.0,13.6,11.3,21.7,2,Spring,4,False,3,True,Thursday,4,,2021
2021-04-16,2443,3931,6374,51.0,10.3,6.1,25.4,2,Spring,4,True,4,False,Friday,4,,2021
2021-04-17,4909,4517,9426,3.0,10.4,7.7,14.3,2,Spring,4,False,5,False,Saturday,1,,2021
2021-04-18,4727,4209,8936,2.0,11.6,9.6,11.0,2,Spring,4,False,6,False,Sunday,1,,2021
2021-04-19,2070,3462,5532,3.0,12.1,10.4,9.8,2,Spring,4,False,0,True,Monday,1,,2021
2021-04-20,3157,4815,7972,1.0,15.3,13.2,17.7,2,Spring,4,False,1,True,Tuesday,1,,2021
2021-04-21,1643,3429,5072,51.0,13.1,8.9,29.6,2,Spring,4,False,2,True,Wednesday,4,,2021
2021-04-22,1535,3125,4660,2.0,6.9,1.5,26.1,2,Spring,4,False,3,True,Thursday,1,,2021
2021-04-23,3024,4388,7412,3.0,9.6,6.4,16.3,2,Spring,4,False,4,True,Friday,1,,2021
2021-04-24,3672,4087,7759,61.0,11.4,9.1,11.5,2,Spring,4,False,5,False,Saturday,4,,2021
2021-04-25,3365,3680,7045,63.0,13.2,10.8,20.7,2,Spring,4,False,6,False,Sunday,4,,2021
2021-04-26,2283,3945,6228,1.0,11.9,8.7,16.3,2,Spring,4,False,0,True,Monday,1,,2021
2021-04-27,3065,4798,7863,1.0,17.8,17.0,16.8,2,Spring,4,False,1,True,Tuesday,1,,2021
2021-04-28,2712,4554,7266,1.0,23.2,23.7,17.4,2,Spring,4,False,2,True,Wednesday,1,,2021
2021-04-29,2346,4302,6648,53.0,22.7,23.8,20.4,2,Spring,4,False,3,True,Thursday,4,,2021
2021-04-30,2475,3877,6352,51.0,16.8,12.7,36.7,2,Spring,4,False,4,True,Friday,4,,2021
2021-05-01,5551,4988,10539,1.0,12.8,8.7,27.0,2,Spring,5,False,5,False,Saturday,1,,2021
2021-05-02,4989,4734,9723,1.0,19.3,17.1,18.7,2,Spring,5,False,6,False,Sunday,1,,2021
2021-05-03,1952,3552,5504,61.0,19.9,20.3,18.6,2,Spring,5,False,0,True,Monday,4,,2021
2021-05-04,2144,3755,5899,53.0,23.0,24.7,15.5,2,Spring,5,False,1,True,Tuesday,4,,2021
2021-05-05,2244,4265,6509,63.0,20.0,20.3,23.7,2,Spring,5,False,2,True,Wednesday,4,,2021
2021-05-06,3082,4862,7944,3.0,13.8,11.2,18.9,2,Spring,5,False,3,True,Thursday,1,,2021
2021-05-07,2159,3470,5629,63.0,12.7,11.4,11.9,2,Spring,5,False,4,True,Friday,4,,2021
2021-05-08,4228,4271,8499,53.0,10.7,8.1,22.8,2,Spring,5,False,5,False,Saturday,4,,2021
2021-05-09,3448,3818,7266,51.0,12.9,10.7,17.2,2,Spring,5,False,6,False,Sunday,4,,2021
2021-05-10,2693,4316,7009,53.0,15.2,12.8,22.1,2,Spring,5,False,0,True,Monday,4,,2021
2021-05-11,2752,4898,7650,3.0,14.1,11.6,19.4,2,Spring,5,False,1,True,Tuesday,1,,2021
2021-05-12,2933,4862,7795,3.0,13.1,10.4,15.6,2,Spring,5,False,2,True,Wednesday,1,,2021
2021-05-13,3494,5100,8594,1.0,14.3,12.1,11.1,2,Spring,5,False,3,True,Thursday,1,,2021
2021-05-14,3984,5230,9214,1.0,15.2,13.7,8.9,2,Spring,5,False,4,True,Friday,1,,2021
2021-05-15,7273,5703,12976,2.0,16.6,15.2,10.4,2,Spring,5,False,5,False,Saturday,1,,2021
2021-05-16,4458,4312,8770,53.0,15.2,14.0,11.8,2,Spring,5,False,6,False,Sunday,4,,2021
2021-05-17,3254,4800,8054,3.0,17.2,16.7,7.9,2,Spring,5,False,0,True,Monday,1,,2021
2021-05-18,3404,5405,8809,2.0,18.8,18.3,12.0,2,Spring,5,False,1,True,Tuesday,1,,2021
2021-05-19,3541,5463,9004,1.0,21.4,21.4,11.1,2,Spring,5,False,2,True,Wednesday,1,,2021
2021-05-20,3512,5236,8748,2.0,22.8,22.3,14.8,2,Spring,5,False,3,True,Thursday,1,,2021
2021-05-21,4739,5640,10379,1.0,21.3,21.2,9.4,2,Spring,5,False,4,True,Friday,1,,2021
2021-05-22,6750,5663,12413,2.0,24.3,23.7,15.5,2,Spring,5,False,5,False,Saturday,1,,2021
2021-05-23,5314,4757,10071,2.0,26.8,26.9,18.6,2,Spring,5,False,6,False,Sunday,1,,2021
2021-05-24,1486,2515,4001,53.0,20.2,20.5,13.6,2,Spring,5,False,0,True,Monday,4,,2021
2021-05-25,3373,5317,8690,3.0,20.0,20.6,11.3,2,Spring,5,False,1,True,Tuesday,1,,2021
2021-05-26,2584,4419,7003,51.0,26.5,28.6,11.8,2,Spring,5,False,2,True,Wednesday,4,,2021
2021-05-27,3595,5220,8815,1.0,24.9,25.8,13.0,2,Spring,5,False,3,True,Thursday,1,,2021
2021-05-28,2977,3822,6799,63.0,21.8,22.3,16.8,2,Spring,5,False,4,True,Friday,4,,2021
2021-05-29,1574,2003,3577,63.0,12.5,10.8,18.2,2,Spring,5,False,5,False,Saturday,4,,2021
2021-05-30,4061,2994,7055,61.0,11.1,9.0,17.0,2,Spring,5,False,6,False,Sunday,4,,2021
2021-05-31,6482,4757,11239,2.0,16.0,15.3,13.9,2,Spring,5,True,0,False,Monday,1,,2021
2021-06-01,3145,4816,7961,3.0,18.8,18.8,11.3,2,Spring,6,False,1,True,Tuesday,1,,2021
2021-06-02,3289,5152,8441,3.0,20.5,20.9,15.5,2,Spring,6,False,2,True,Wednesday,1,,2021
2021-06-03,2774,4310,7084,63.0,22.1,24.2,14.3,2,Spring,6,False,3,True,Thursday,4,,2021
2021-06-04,4061,5393,9454,61.0,23.5,26.4,14.0,2,Spring,6,False,4,True,Friday,4,,2021
2021-06-05,6287,5458,11745,1.0,24.9,26.4,11.9,2,Spring,6,False,5,False,Saturday,1,,2021
2021-06-06,4469,4593,9062,1.0,26.5,28.7,11.6,2,Spring,6,False,6,False,Sunday,1,,2021
2021-06-07,2852,4687,7539,63.0,27.3,31.0,11.9,2,Spring,6,False,0,True,Monday,4,,2021
2021-06-08,2905,5063,7968,63.0,26.7,31.2,10.0,2,Spring,6,False,1,True,Tuesday,4,,2021
2021-06-09,3142,5152,8294,61.0,25.3,29.7,7.7,2,Spring,6,False,2,True,Wednesday,4,,2021
2021-06-10,2002,3449,5451,63.0,24.8,29.0,14.4,2,Spring,6,False,3,True,Thursday,4,,2021
2021-06-11,1552,2729,4281,63.0,20.3,21.9,19.8,2,Spring,6,False,4,True,Friday,4,,2021
2021-06-12,6967,6092,13059,51.0,20.5,22.3,13.0,2,Spring,6,False,5,False,Saturday,4,,2021
2021-06-13,5627,4644,10271,51.0,22.6,24.7,11.3,2,Spring,6,False,6,False,Sunday,4,,2021
2021-06-14,3534,4800,8334,61.0,24.3,27.0,10.2,2,Spring,6,False,0,True,Monday,4,,2021
2021-06-15,3924,5589,9513,53.0,22.2,23.1,13.6,2,Spring,6,False,1,True,Tuesday,4,,2021
2021-06-16,4008,5922,9930,1.0,21.4,20.7,13.6,2,Spring,6,False,2,True,Wednesday,1,,2021
2021-06-17,4396,5905,10301,2.0,20.4,19.5,13.1,2,Spring,6,False,3,True,Thursday,1,,2021
2021-06-18,5873,5905,11778,2.0,22.4,22.3,12.8,2,Spring,6,True,4,False,Friday,1,,2021
2021-06-19,6754,5411,12165,63.0,25.2,27.5,15.0,2,Spring,6,False,5,False,Saturday,4,,2021
2021-06-20,5469,4730,10199,51.0,26.6,30.1,10.8,2,Spring,6,False,6,False,Sunday,4,,2021
2021-06-21,2934,4502,7436,53.0,27.4,31.5,12.1,3,Summer,6,False,0,True,Monday,4,,2021
2021-06-22,2331,4255,6586,61.0,21.2,23.0,17.1,3,Summer,6,False,1,True,Tuesday,4,,2021
2021-06-23,4429,6343,10772,2.0,18.9,18.3,10.7,3,Summer,6,False,2,True,Wednesday,1,,2021
2021-06-24,4493,6153,10646,3.0,20.4,20.6,11.3,3,Summer,6,False,3,True,Thursday,1,,2021
2021-06-25,5024,5553,10577,2.0,21.5,22.6,12.0,3,Summer,6,False,4,True,Friday,1,,2021
2021-06-26,6646,5271,11917,53.0,24.7,27.6,18.3,3,Summer,6,False,5,False,Saturday,4,,2021
2021-06-27,5160,4661,9821,51.0,26.8,30.0,14.5,3,Summer,6,False,6,False,Sunday,4,,2021
2021-06-28,3393,4821,8214,51.0,28.2,31.5,13.8,3,Summer,6,False,0,True,Monday,4,,2021
2021-06-29,3222,5304,8526,1.0,29.3,32.7,11.9,3,Summer,6,False,1,True,Tuesday,1,,2021
2021-06-30,3102,4953,8055,51.0,30.0,32.9,14.3,3,Summer,6,False,2,True,Wednesday,4,,2021
2021-07-01,2780,4450,7230,65.0,26.3,30.8,12.1,3,Summer,7,False,3,True,Thursday,4,,2021
2021-07-02,4794,5293,10087,63.0,23.0,24.5,14.5,3,Summer,7,False,4,True,Friday,4,,2021
2021-07-03,7847,5296,13143,51.0,21.4,21.4,14.6,3,Summer,7,False,5,False,Saturday,4,,2021
2021-07-04,11815,5068,16883,2.0,22.8,24.3,10.2,3,Summer,7,False,6,False,Sunday,1,,2021
2021-07-05,6643,4618,11261,2.0,25.8,28.2,11.6,3,Summer,7,True,0,False,Monday,1,,2021
2021-07-06,3671,5098,8769,1.0,27.9,31.3,13.1,3,Summer,7,False,1,True,Tuesday,1,,2021
2021-07-07,3336,5410,8746,61.0,28.6,32.8,11.9,3,Summer,7,False,2,True,Wednesday,4,,2021
2021-07-08,2633,4455,7088,63.0,26.2,29.6,17.4,3,Summer,7,False,3,True,Thursday,4,,2021
2021-07-09,3649,4818,8467,65.0,25.5,28.9,18.9,3,Summer,7,False,4,True,Friday,4,,2021
2021-07-10,7498,5981,13479,3.0,24.7,26.4,14.2,3,Summer,7,False,5,False,Saturday,1,,2021
2021-07-11,5668,5036,10704,61.0,25.9,29.6,16.2,3,Summer,7,False,6,False,Sunday,4,,2021
2021-07-12,3513,5145,8658,53.0,28.4,33.1,14.2,3,Summer,7,False,0,True,Monday,4,,2021
2021-07-13,3488,5642,9130,2.0,29.1,32.9,17.2,3,Summer,7,False,1,True,Tuesday,1,,2021
2021-07-14,3428,5527,8955,63.0,27.6,31.2,13.3,3,Summer,7,False,2,True,Wednesday,4,,2021
2021-07-15,4178,5799,9977,51.0,27.1,31.4,10.0,3,Summer,7,False,3,True,Thursday,4,,2021
2021-07-16,4723,5666,10389,1.0,28.7,32.6,10.3,3,Summer,7,False,4,True,Friday,1,,2021
2021-07-17,6108,5033,11141,63.0,28.2,33.0,13.4,3,Summer,7,False,5,False,Saturday,4,,2021
2021-07-18,6297,5117,11414,3.0,25.5,27.3,19.3,3,Summer,7,False,6,False,Sunday,1,,2021
2021-07-19,3804,5352,9156,2.0,25.9,27.9,10.5,3,Summer,7,False,0,True,Monday,1,,2021
2021-07-20,3663,5877,9540,1.0,26.9,30.0,9.0,3,Summer,7,False,1,True,Tuesday,1,,2021
2021-07-21,3826,5720,9546,53.0,27.1,29.2,13.6,3,Summer,7,False,2,True,Wednesday,4,,2021
2021-07-22,4060,5854,9914,1.0,24.3,24.8,11.9,3,Summer,7,False,3,True,Thursday,1,,2021
2021-07-23,4847,5772,10619,2.0,24.0,24.8,8.3,3,Summer,7,False,4,True,Friday,1,,2021
2021-07-24,6440,5177,11617,51.0,25.1,26.8,14.6,3,Summer,7,False,5,False,Saturday,4,,2021
2021-07-25,5212,4660,9872,51.0,28.0,30.4,15.6,3,Summer,7,False,6,False,Sunday,4,,2021
2021-07-26,2860,4771,7631,51.0,28.5,32.2,9.2,3,Summer,7,False,0,True,Monday,4,,2021
2021-07-27,3210,5443,8653,1.0,28.4,32.6,5.7,3,Summer,7,False,1,True,Tuesday,1,,2021
2021-07-28,3334,5645,8979,1.0,28.1,30.1,12.1,3,Summer,7,False,2,True,Wednesday,1,,2021
2021-07-29,3537,5409,8946,51.0,28.1,31.5,10.5,3,Summer,7,False,3,True,Thursday,4,,2021
2021-07-30,4393,5687,10080,51.0,27.9,29.2,15.0,3,Summer,7,False,4,True,Friday,4,,2021
2021-07-31,6902,5450,12352,3.0,24.5,25.0,12.1,3,Summer,7,False,5,False,Saturday,1,,2021
2021-08-01,3593,3584,7177,61.0,23.7,26.6,10.5,3,Summer,8,False,6,False,Sunday,4,,2021
2021-08-02,4055,5455,9510,2.0,22.8,23.6,13.4,3,Summer,8,False,0,True,Monday,1,,2021
2021-08-03,3985,5864,9849,2.0,23.1,24.4,10.0,3,Summer,8,False,1,True,Tuesday,1,,2021
2021-08-04,4183,5815,9998,3.0,22.5,23.6,15.0,3,Summer,8,False,2,True,Wednesday,1,,2021
2021-08-05,4294,5870,10164,2.0,24.3,26.1,7.0,3,Summer,8,False,3,True,Thursday,1,,2021
2021-08-06,4587,5461,10048,2.0,26.0,27.6,13.8,3,Summer,8,False,4,True,Friday,1,,2021
2021-08-07,4247,3885,8132,53.0,22.7,25.0,9.0,3,Summer,8,False,5,False,Saturday,4,,2021
2021-08-08,6262,4735,10997,1.0,24.8,27.4,11.4,3,Summer,8,False,6,False,Sunday,1,,2021
2021-08-09,3201,4619,7820,63.0,26.0,30.1,13.5,3,Summer,8,False,0,True,Monday,4,,2021
2021-08-10,2553,4393,6946,53.0,28.1,32.3,12.9,3,Summer,8,False,1,True,Tuesday,4,,2021
2021-08-11,2647,4687,7334,61.0,28.9,34.1,8.6,3,Summer,8,False,2,True,Wednesday,4,,2021
2021-08-12,3481,4959,8440,1.0,30.1,34.5,12.2,3,Summer,8,False,3,True,Thursday,1,,2021
2021-08-13,2963,4097,7060,63.0,29.6,34.7,10.7,3,Summer,8,False,4,True,Friday,4,,2021
2021-08-14,5319,4819,10138,63.0,27.2,32.2,10.2,3,Summer,8,False,5,False,Saturday,4,,2021
2021-08-15,5022,4487,9509,63.0,24.2,27.1,12.2,3,Summer,8,False,6,False,Sunday,4,,2021
2021-08-16,2006,3291,5297,61.0,24.1,28.2,8.5,3,Summer,8,False,0,True,Monday,4,,2021
2021-08-17,3080,4982,8062,53.0,25.7,30.4,10.5,3,Summer,8,False,1,True,Tuesday,4,,2021
2021-08-18,2995,5211,8206,61.0,26.2,30.7,17.8,3,Summer,8,False,2,True,Wednesday,4,,2021
2021-08-19,3423,5142,8565,51.0,27.3,31.2,11.9,3,Summer,8,False,3,True,Thursday,4,,2021
2021-08-20,3248,4114,7362,63.0,24.5,28.7,9.9,3,Summer,8,False,4,True,Friday,4,,2021
2021-08-21,5240,5102,10342,63.0,24.7,29.3,7.7,3,Summer,8,False,5,False,Saturday,4,,2021
2021-08-22,4921,4694,9615,51.0,24.5,28.8,9.4,3,Summer,8,False,6,False,Sunday,4,,2021
2021-08-23,3268,5258,8526,53.0,26.8,30.8,11.6,3,Summer,8,False,0,True,Monday,4,,2021
2021-08-24,3122,5834,8956,1.0,28.2,32.3,11.7,3,Summer,8,False,1,True,Tuesday,1,,2021
2021-08-25,2873,5712,8585,51.0,28.4,33.8,8.3,3,Summer,8,False,2,True,Wednesday,4,,2021
2021-08-26,2810,5205,8015,63.0,27.6,33.6,9.2,3,Summer,8,False,3,True,Thursday,4,,2021
2021-08-27,3245,5222,8467,63.0,27.5,33.4,8.6,3,Summer,8,False,4,True,Friday,4,,2021
2021-08-28,5928,5818,11746,51.0,26.6,31.8,12.4,3,Summer,8,False,5,False,Saturday,4,,2021
2021-08-29,4526,5063,9589,3.0,25.3,29.4,11.0,3,Summer,8,False,6,False,Sunday,1,,2021
2021-08-30,2821,5727,8548,61.0,26.3,31.4,9.6,3,Summer,8,False,0,True,Monday,4,,2021
2021-08-31,2727,6264,8991,53.0,25.2,29.9,8.9,3,Summer,8,False,1,True,Tuesday,4,,2021
